epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,744.793,1.04674,0.72001,0.84126,0.55544,0.55418,0.58527,0.37066,1.45076,1.27752,0.95752,0.000250992,0.000250992,0.000250992
65,757.787,1.12287,0.75267,0.83948,0.62895,0.48885,0.58918,0.36694,1.447,1.33608,0.95451,0.000244389,0.000244389,0.000244389
66,767.968,1.08065,0.73028,0.84132,0.52687,0.56737,0.58113,0.36716,1.42701,1.33941,0.95025,0.000237785,0.000237785,0.000237785
67,778.897,1.09266,0.7354,0.84507,0.52391,0.57442,0.56841,0.36494,1.43677,1.29988,0.95248,0.000231182,0.000231182,0.000231182
68,789.7,1.10737,0.73167,0.84469,0.56355,0.52431,0.5635,0.35837,1.43374,1.33677,0.95328,0.000224579,0.000224579,0.000224579
69,802.546,1.08015,0.72909,0.84171,0.54465,0.5245,0.55614,0.36002,1.45738,1.39133,0.95553,0.000217976,0.000217976,0.000217976
70,816.714,1.09047,0.7278,0.84632,0.54247,0.54131,0.56414,0.36154,1.45193,1.31582,0.96495,0.000211372,0.000211372,0.000211372
71,828.334,1.08484,0.73013,0.83701,0.60149,0.50388,0.57061,0.36809,1.42516,1.30929,0.96161,0.000204769,0.000204769,0.000204769
72,840.49,1.08343,0.71352,0.84065,0.61542,0.46553,0.57053,0.36626,1.46419,1.27128,0.9644,0.000198166,0.000198166,0.000198166
73,852.892,1.08032,0.72918,0.83952,0.66672,0.45938,0.57453,0.36476,1.47691,1.23348,0.97178,0.000191562,0.000191562,0.000191562
74,864.844,1.11132,0.72981,0.83907,0.61402,0.48338,0.57581,0.36866,1.46706,1.21338,0.96235,0.000184959,0.000184959,0.000184959
75,879.068,1.09633,0.72041,0.84064,0.54229,0.55241,0.58252,0.37104,1.42163,1.24109,0.95296,0.000178356,0.000178356,0.000178356
76,890.785,1.05949,0.72202,0.83257,0.5354,0.53748,0.56853,0.35922,1.43982,1.30963,0.95979,0.000171752,0.000171752,0.000171752
77,902.72,1.01675,0.70892,0.83878,0.54892,0.53162,0.55862,0.35305,1.45016,1.36129,0.96714,0.000165149,0.000165149,0.000165149
78,916.415,1.10339,0.72381,0.83986,0.54676,0.51789,0.5572,0.35422,1.44982,1.29914,0.96872,0.000158546,0.000158546,0.000158546
79,930.281,1.02253,0.69079,0.83705,0.56074,0.5116,0.56582,0.36316,1.43328,1.26227,0.95864,0.000151943,0.000151943,0.000151943
80,941.844,1.01263,0.69039,0.84048,0.52746,0.56513,0.57345,0.3659,1.4258,1.22591,0.95367,0.000145339,0.000145339,0.000145339
81,956.382,1.03372,0.69048,0.83375,0.53881,0.54598,0.57113,0.36447,1.43979,1.18975,0.95398,0.000138736,0.000138736,0.000138736
82,972.296,1.04831,0.69237,0.83338,0.5236,0.55984,0.56688,0.36575,1.4183,1.19226,0.95293,0.000132133,0.000132133,0.000132133
83,983.918,1.05039,0.69145,0.83657,0.53213,0.56928,0.56486,0.36564,1.411,1.21569,0.9473,0.000125529,0.000125529,0.000125529
84,996.217,1.0741,0.69783,0.837,0.53607,0.53331,0.55978,0.35589,1.43141,1.29153,0.95483,0.000118926,0.000118926,0.000118926
85,1009.54,1.05775,0.70071,0.83388,0.54894,0.51202,0.55466,0.35595,1.44153,1.33286,0.95912,0.000112323,0.000112323,0.000112323
86,1021.01,1.07752,0.70102,0.83134,0.54179,0.51351,0.56094,0.35387,1.46037,1.35391,0.96079,0.00010572,0.00010572,0.00010572
87,1034.39,1.06864,0.71276,0.83381,0.52989,0.5099,0.55034,0.34461,1.45644,1.37748,0.95729,9.91162e-05,9.91162e-05,9.91162e-05
88,1046.09,1.00671,0.6841,0.83194,0.51556,0.51276,0.56015,0.35724,1.44476,1.34255,0.95299,9.25129e-05,9.25129e-05,9.25129e-05
89,1062.13,1.0074,0.68593,0.8281,0.53685,0.51203,0.56886,0.35892,1.45186,1.2786,0.95229,8.59096e-05,8.59096e-05,8.59096e-05
90,1073.31,0.9941,0.66368,0.83097,0.53594,0.52809,0.57157,0.36025,1.43834,1.25756,0.95468,7.93063e-05,7.93063e-05,7.93063e-05
91,1108.09,1.02414,0.75302,0.8397,0.50474,0.5404,0.55231,0.345,1.44465,1.3006,0.956,7.2703e-05,7.2703e-05,7.2703e-05
92,1120.36,1.01209,0.72556,0.83234,0.53066,0.5128,0.53413,0.33262,1.44207,1.38055,0.95278,6.60997e-05,6.60997e-05,6.60997e-05
93,1132.29,0.99227,0.7256,0.82997,0.54478,0.52915,0.53541,0.33632,1.44583,1.41073,0.95074,5.94964e-05,5.94964e-05,5.94964e-05
94,1147.46,0.9899,0.7029,0.83228,0.5408,0.53379,0.53642,0.33553,1.44717,1.4115,0.9513,5.28931e-05,5.28931e-05,5.28931e-05
95,1159.89,1.04468,0.74905,0.83499,0.58011,0.49559,0.53251,0.33239,1.44707,1.39823,0.95206,4.62898e-05,4.62898e-05,4.62898e-05
96,1171.52,0.94915,0.67419,0.83168,0.55779,0.5304,0.54851,0.3429,1.44074,1.37429,0.95301,3.96865e-05,3.96865e-05,3.96865e-05
97,1182.83,0.96032,0.68875,0.8323,0.56279,0.52037,0.54833,0.33974,1.44937,1.36855,0.95973,3.30832e-05,3.30832e-05,3.30832e-05
98,1194.72,0.93593,0.68139,0.82534,0.55831,0.51348,0.53534,0.33243,1.45837,1.35156,0.96416,2.64799e-05,2.64799e-05,2.64799e-05
99,1206.51,0.96022,0.67895,0.82825,0.56238,0.51154,0.54982,0.34532,1.45289,1.33754,0.96281,1.98766e-05,1.98766e-05,1.98766e-05
100,1217.86,0.99334,0.70085,0.83375,0.56353,0.50967,0.53915,0.33702,1.44734,1.34157,0.96175,1.32733e-05,1.32733e-05,1.32733e-05
